Page,Index,Title,DOI,PDFLink,Downloaded
2,13,Design and realization of a RF transceiver for marine identification system [emphasis on VHF power amplifier],10.1109/CCECE.2004.1345091,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1345091,0
2,14,Adaptive Compensation of High Frequency Memory Effects of a Realistic Amplifier in an OFDM System,10.1109/ICTTA.2006.1684824,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1684824,0
2,15,Concurrent multi-band power amplifier employing multi-section impedance transformer,10.1109/PAWR.2011.5725389,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5725389,0
2,16,An improved method of power control with CMOS class-E power amplifiers,10.1109/ISCAS.2008.4541915,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4541915,0
2,17,A 2.45GHz CMOS power amplifier with high linearity,10.1109/ASICON.2009.5351413,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5351413,0
2,18,Cascaded Resonant RF Drive Design and Soft-Switching Optimization of High-Power Class-E Power Amplifiers,10.1109/SPIES55999.2022.10082292,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10082292,0
2,19,Switching-based topologies for high-efficiency audio amplifiers,10.1109/ISSCS.2005.1509909,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1509909,0
2,20,A 2×20W 0.0013% THD+N Class-D audio amplifier with consistent performance up to maximum power level,10.1109/ISSCC.2018.8310181,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8310181,0
2,21,A CMOS RF Power Amplifier Using an Off-Chip Transmision Line Transformer With 62% PAE,10.1109/LMWC.2007.895723,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4167922,0
2,22,A High Efficiency Class-E Power Amplifier with Tuned Output Network,10.1109/ICSC60394.2023.10441126,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10441126,0
2,23,Multilevel tracking power supply for switch-mode audio power amplifiers,10.1109/APEC.2018.8341043,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8341043,0
2,24,A new estimation method of efficiency for class-E power amplifier operated above theoretical maximum operation frequency,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728565,0
2,25,High-Efficiency Push–Pull Power Amplifier With High Operation Voltage,10.1109/LMWC.2007.895722,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4167942,0
2,26,Sliding-mode quantized control of a class-D audio power amplifier,10.1109/IPEC.2010.5543297,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5543297,0
2,27,An adaptive predistortion RF power amplifier with a spectrum monitor for multicarrier WCDMA applications,10.1109/TMTT.2004.841222,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1393226,0
2,28,The Doherty Power Amplifier with Collector Current and Voltage Controls for Handset Applications,10.1109/BIPOL.2007.4351847,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4351847,0
2,29,A CMOS class-E power amplifier of 40-% PAE at 5 GHz for constant envelope modulation system,10.1109/SiRF.2013.6489434,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6489434,0
2,30,"A 1W, 900MHz class-F RF power amplifier with 56% PAE in 0.18-um CMOS technology",10.1109/ICM.2008.5393846,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5393846,0
2,31,Fully-integrated highly-efficient RF Class E SiGe power amplifier with an envelope-tracking technique for EDGE applications,10.1109/RWS.2006.1615137,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1615137,0
2,32,Performance comparison of RF class-D amplifier with Neoteric modulator and bandpass sigma-delta modulator,10.1109/APMC.2009.5384294,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5384294,0
2,33,An Energy-Efficient 2 × VBAT-Swing Switched-Mode Audio Amplifier With Fully Differential Single-Inductor Linear Buck-Boost Power Topology,10.1109/LSSC.2021.3121561,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9581310,0
2,34,Two-Tier Push-Pull RF Power Amplifier for Basestation Applications,10.1109/MWSYM.2006.249784,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015326,0
2,35,A three-level class-G modulated 1.85 GHz RF power amplifier for LTE applications with over 50% PAE,10.1109/MWSYM.2016.7540389,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7540389,0
2,36,Theory and Experimental Results of a Class F AB-C Doherty Power Amplifier,10.1109/TMTT.2009.2025433,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5166452,0
2,37,High-Efficiency Digital Power Amplifier Design Based on 22-nm CMOS Process,10.1109/ICICM59499.2023.10365747,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10365747,0
2,38,A High Linearity and Efficiency of Envelope Elimination and Restoration using Photonic Band-gap and Applying Class-F Power Amplifier,10.1109/APMC.2007.4554705,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4554705,0
2,39,Class-D power amplifier with RF pulse-width modulation,10.1109/MWSYM.2010.5516001,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5516001,0
2,40,CMOS RF Power Amplifier for UHF Stationary RFID Reader,10.1109/LMWC.2009.2038552,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5392987,0
2,41,Design and implementation of class-F GaN HEMT power amplifier for S-band radar,10.1109/ICEECCOT.2017.8284648,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8284648,0
2,42,High-power high-efficiency broadband GaN HEMT Doherty amplifiers for base station applications,10.1109/PAWR.2018.8310055,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8310055,0
2,43,A compact tuneable output network for high efficient chireix outphasing power amplifier design,10.1109/INMMIC.2010.5480135,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5480135,0
2,44,A 63W 14MHz Class-E amplifier for wireless power transmission,10.1109/APMC.2012.6421634,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6421634,0
2,45,Self-recovering short-circuit protection circuit for RF class-D power amplifier,10.1109/ASICON.2015.7517122,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7517122,0
2,46,High power integration for RF infrastructure power amplifiers,10.1109/RWS.2009.4957406,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4957406,0
2,47,A Methodology for Implementation of High-Efficiency Broadband Power Amplifiers With Second-Harmonic Manipulation,10.1109/TCSII.2015.2482139,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7277033,0
2,48,Measuring Output Resistance of a B Class HF Power Amplifier Using Energy Considerations,10.1109/EMES58375.2023.10171654,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10171654,0
2,49,A novel adaptive LDMOS power amplifier with constant efficiency for wide dynamic power levels control,10.1109/MWSYM.2008.4633063,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4633063,0
2,50,A 0.9-5- GHz Wide-Range 1W-Class Reconfigurable Power Amplifier Employing RF-MEMS Switches,10.1109/MWSYM.2006.249776,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015318,0
2,51,Design of a current mode class-D RF amplifier using load pull techniques,10.1109/MWSYM.2009.5165998,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5165998,0
